"tid","Anser.det.som.fornuftigt.at.spare.op.i.den.nuvaerende.oekonomiske.situation","Anskaffelse.af.stoerre.forbrugsgoder..fordelagtigt.for.oejeblikket","Anskaffelse.af.stoerre.forbrugsgoder..inden.for.de.naeste.12.mdr.","Arbejdsloesheden.om.et.aar..sammenlignet.med.i.dag","Danmarks.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Danmarks.oekonomiske.situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske..situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Familiens.oekonomiske.situation.lige.nu..kan.spare.penge.slaar.til..bruger.mere.end.man.tjener","Priser.i.dag..sammenlignet.med.for.et.aar.siden","Priser.om.et.aar..sammenlignet.med.i.dag","Regner.med.at.kunne.spare.op.i.de.kommende.12.maaneder","indikator","forbrug","realvaekst"
"2016K4",59.6,-7.9,-7.33333333333333,2.63333333333333,1.13333333333333,3.46666666666667,-10.6333333333333,2.63333333333333,22.2333333333333,-15.2,13.9333333333333,27.4,7.66388888888889,256.9,1.10192837465564
"2017K1",57.1666666666667,-5.03333333333333,-2.5,-7.66666666666667,7.63333333333333,-4.83333333333333,-13.7333333333333,4.53333333333333,25.2333333333333,-12.8,18.3333333333333,27.3666666666667,7.80833333333334,259.3,0.934215648112113
"2017K2",57.1,-6.9,-2.96666666666667,-8.63333333333333,12.6666666666667,-10.3333333333333,-13.0666666666667,4.8,29.3666666666667,-9.86666666666667,21,30.2333333333333,8.61666666666667,260.2,0.347088314693389
"2017K3",59.6333333333333,-6.33333333333333,-4.46666666666667,-9.93333333333333,15.2,-11.9333333333333,-14.5,7.06666666666667,26.7333333333333,-8.53333333333333,18.7,28.6333333333333,8.35555555555555,260.6,0.153727901614165
"2017K4",56.1666666666667,-7.6,-1.36666666666667,-9.2,13.8333333333333,-7.93333333333333,-13.8333333333333,7.3,26.8666666666667,-4.73333333333333,22.7333333333333,26.8,9.08611111111111,265.1,1.72678434382194
"2018K1",57.0333333333333,-6.46666666666667,-1.06666666666667,-10.6,17.1,-9.86666666666667,-15.3,6.2,26.5666666666667,-5.43333333333333,20.5333333333333,28.0666666666667,8.89722222222222,269.6,1.69747265182949
"2018K2",59.1,-6,-3.16666666666667,-10.2333333333333,19.5333333333333,-11.9,-13.2666666666667,6.16666666666667,28.7333333333333,-6.46666666666667,24.1,28.0333333333333,9.55277777777777,272.5,1.07566765578635
"2018K3",61.6666666666667,-5.03333333333333,-2.46666666666667,-9.56666666666667,15.6333333333333,-8,-14.5,7.43333333333333,28.6,-5.8,27.0333333333333,31.0666666666667,10.5055555555556,271.6,-0.33027522935779
"2018K4",59,-7.76666666666667,-5.73333333333333,-5.93333333333333,8.63333333333333,-2.83333333333333,-11.6333333333333,5.26666666666667,26.7,-5.8,25.3333333333333,29.1,9.52777777777778,270.8,-0.294550810014726
"2019K1",58.7,-6.33333333333333,-4.3,-2,6.36666666666667,0.133333333333333,-12.8,5.56666666666667,25.9333333333333,-7.3,21.0666666666667,27.5,9.37777777777778,274,1.18168389955686
"2019K2",58.6666666666667,-7.4,-1.56666666666667,-3.06666666666667,8.03333333333333,-2.93333333333333,-12.8666666666667,9.2,28.6666666666667,-5.33333333333333,24.8666666666667,30.4333333333333,10.5583333333333,274.4,0.145985401459847
"2019K3",58.5666666666667,-4.96666666666667,-2.2,1.6,9.76666666666667,3.86666666666667,-12.9,8.63333333333333,30.7666666666667,-10.7,24.3666666666667,38.5,12.1083333333333,275.2,0.291545189504383
"2019K4",55.9333333333333,-9.5,-3.13333333333333,6.56666666666667,4.4,4.86666666666667,-12.2666666666667,6.93333333333333,30.1333333333333,-7.46666666666667,28.1333333333333,35.6,11.6833333333333,280.1,1.78052325581397
